names_movie,names_url
Glory Road,https://www.imdb.com/title/tt0385726/?ref_=ttls_li_tt
The Greatest Game Ever Played,https://www.imdb.com/title/tt0388980/?ref_=ttls_li_tt
In Her Shoes,https://www.imdb.com/title/tt0388125/?ref_=ttls_li_tt
Walk the Line,https://www.imdb.com/title/tt0358273/?ref_=ttls_li_tt
Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=ttls_li_tt
The Sisterhood of the Traveling Pants,https://www.imdb.com/title/tt0403508/?ref_=ttls_li_tt
The Sisterhood of the Traveling Pants 2,https://www.imdb.com/title/tt1018785/?ref_=ttls_li_tt
The Magic of Ordinary Days,https://www.imdb.com/title/tt0406046/?ref_=ttls_li_tt
Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=ttls_li_tt
Vanity Fair,https://www.imdb.com/title/tt0241025/?ref_=ttls_li_tt
Mean Girls,https://www.imdb.com/title/tt0377092/?ref_=ttls_li_tt
Friday Night Lights,https://www.imdb.com/title/tt0390022/?ref_=ttls_li_tt
Mean Moms,https://www.imdb.com/title/tt1658849/?ref_=ttls_li_tt
Lawless,https://www.imdb.com/title/tt1212450/?ref_=ttls_li_tt
Jack Reacher,https://www.imdb.com/title/tt0790724/?ref_=ttls_li_tt
Rise of the Guardians,https://www.imdb.com/title/tt1446192/?ref_=ttls_li_tt
Rock of Ages,https://www.imdb.com/title/tt1336608/?ref_=ttls_li_tt
The Woman in Black,https://www.imdb.com/title/tt1596365/?ref_=ttls_li_tt
A Great and Terrible Beauty,https://www.imdb.com/title/tt0833962/?ref_=ttls_li_tt
Wings,https://www.imdb.com/title/tt1478874/?ref_=ttls_li_tt
Beastly,https://www.imdb.com/title/tt1152398/?ref_=ttls_li_tt
Beautiful Creatures,https://www.imdb.com/title/tt1559547/?ref_=ttls_li_tt
Delirium,https://www.imdb.com/title/tt1698647/?ref_=ttls_li_tt
Fallen,https://www.imdb.com/title/tt1564777/?ref_=ttls_li_tt
Firelight,https://www.imdb.com/title/tt1837552/?ref_=ttls_li_tt
Heist Society,https://www.imdb.com/title/tt1597724/?ref_=ttls_li_tt
If I Stay,https://www.imdb.com/title/tt1355630/?ref_=ttls_li_tt
Incarceron,https://www.imdb.com/title/tt1610486/?ref_=ttls_li_tt
Shiver,https://www.imdb.com/title/tt1520490/?ref_=ttls_li_tt
The Forest of Hands and Teeth,https://www.imdb.com/title/tt1661439/?ref_=ttls_li_tt
The Little Mermaid,https://www.imdb.com/title/tt1687916/?ref_=ttls_li_tt
The Looking Glass Wars,https://www.imdb.com/title/tt1549930/?ref_=ttls_li_tt
Vampire Academy,https://www.imdb.com/title/tt1686821/?ref_=ttls_li_tt
Wicked Lovely,https://www.imdb.com/title/tt1517273/?ref_=ttls_li_tt
One for the Money,https://www.imdb.com/title/tt1598828/?ref_=ttls_li_tt
Paranormalcy,https://www.imdb.com/title/tt1718855/?ref_=ttls_li_tt
The Chronicles of Narnia: The Magician's Nephew,https://www.imdb.com/title/tt1872184/?ref_=ttls_li_tt
The Chronicles of Narnia: The Silver Chair,https://www.imdb.com/title/tt1223947/?ref_=ttls_li_tt
The Hunger Games: Mockingjay - Part 1,https://www.imdb.com/title/tt1951265/?ref_=ttls_li_tt
The Hunger Games: Mockingjay - Part 2,https://www.imdb.com/title/tt1951266/?ref_=ttls_li_tt
The Twilight Saga: Breaking Dawn - Part 2,https://www.imdb.com/title/tt1673434/?ref_=ttls_li_tt
Wake,https://www.imdb.com/title/tt1695832/?ref_=ttls_li_tt
The Twilight Saga: Breaking Dawn - Part 1,https://www.imdb.com/title/tt1324999/?ref_=ttls_li_tt
The Host,https://www.imdb.com/title/tt1517260/?ref_=ttls_li_tt
The Way Back,https://www.imdb.com/title/tt1023114/?ref_=ttls_li_tt
Barney's Version,https://www.imdb.com/title/tt1423894/?ref_=ttls_li_tt
Submarine,https://www.imdb.com/title/tt1440292/?ref_=ttls_li_tt
Oranges and Sunshine,https://www.imdb.com/title/tt1438216/?ref_=ttls_li_tt
Gomorrah,https://www.imdb.com/title/tt0929425/?ref_=ttls_li_tt
Simon and the Oaks,https://www.imdb.com/title/tt1375669/?ref_=ttls_li_tt
Tom Sawyer & Huckleberry Finn,https://www.imdb.com/title/tt1977087/?ref_=ttls_li_tt
"Turn Me On, Dammit!",https://www.imdb.com/title/tt1650407/?ref_=ttls_li_tt
Island,https://www.imdb.com/title/tt1185393/?ref_=ttls_li_tt
Never Let Me Go,https://www.imdb.com/title/tt1334260/?ref_=ttls_li_tt
Serpent Girl,https://www.imdb.com/title/tt1832456/?ref_=ttls_li_tt
Great Expectations,https://www.imdb.com/title/tt1836808/?ref_=ttls_li_tt
Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=ttls_li_tt
Fifty Shades of Grey,https://www.imdb.com/title/tt2322441/?ref_=ttls_li_tt
127 Hours,https://www.imdb.com/title/tt1542344/?ref_=ttls_li_tt
100 Rifles,https://www.imdb.com/title/tt0063970/?ref_=ttls_li_tt
The Hunger Games,https://www.imdb.com/title/tt1392170/?ref_=ttls_li_tt
The Hunger Games: Catching Fire,https://www.imdb.com/title/tt1951264/?ref_=ttls_li_tt
A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=ttls_li_tt
A Civil Action,https://www.imdb.com/title/tt0120633/?ref_=ttls_li_tt
A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=ttls_li_tt
A Good Year,https://www.imdb.com/title/tt0401445/?ref_=ttls_li_tt
A Little Romance,https://www.imdb.com/title/tt0079477/?ref_=ttls_li_tt
A Room with a View,https://www.imdb.com/title/tt0091867/?ref_=ttls_li_tt
A Walk to Remember,https://www.imdb.com/title/tt0281358/?ref_=ttls_li_tt
About a Boy,https://www.imdb.com/title/tt0276751/?ref_=ttls_li_tt
All That Heaven Allows,https://www.imdb.com/title/tt0047811/?ref_=ttls_li_tt
All the Pretty Horses,https://www.imdb.com/title/tt0149624/?ref_=ttls_li_tt
Message in a Bottle,https://www.imdb.com/title/tt0139462/?ref_=ttls_li_tt
The Lucky One,https://www.imdb.com/title/tt1327194/?ref_=ttls_li_tt
Dear John,https://www.imdb.com/title/tt0989757/?ref_=ttls_li_tt
The Last Song,https://www.imdb.com/title/tt1294226/?ref_=ttls_li_tt
The Notebook,https://www.imdb.com/title/tt0332280/?ref_=ttls_li_tt
Nights in Rodanthe,https://www.imdb.com/title/tt0956038/?ref_=ttls_li_tt
Angels & Demons,https://www.imdb.com/title/tt0808151/?ref_=ttls_li_tt
The Da Vinci Code,https://www.imdb.com/title/tt0382625/?ref_=ttls_li_tt
The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/?ref_=ttls_li_tt
The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1132620/?ref_=ttls_li_tt
The Girl Who Played with Fire,https://www.imdb.com/title/tt1216487/?ref_=ttls_li_tt
The Golden Compass,https://www.imdb.com/title/tt0385752/?ref_=ttls_li_tt
Evil,https://www.imdb.com/title/tt0338309/?ref_=ttls_li_tt
The Girl Who Kicked the Hornet's Nest,https://www.imdb.com/title/tt1343097/?ref_=ttls_li_tt
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=ttls_li_tt
Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/?ref_=ttls_li_tt
Harry Potter and the Chamber of Secrets,https://www.imdb.com/title/tt0295297/?ref_=ttls_li_tt
Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/?ref_=ttls_li_tt
Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/?ref_=ttls_li_tt
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=ttls_li_tt
Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/?ref_=ttls_li_tt
Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/?ref_=ttls_li_tt
Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/?ref_=ttls_li_tt
The Help,https://www.imdb.com/title/tt1454029/?ref_=ttls_li_tt
Extremely Loud & Incredibly Close,https://www.imdb.com/title/tt0477302/?ref_=ttls_li_tt
One Day,https://www.imdb.com/title/tt1563738/?ref_=ttls_li_tt
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=ttls_li_tt
Lord of the Flies,https://www.imdb.com/title/tt0100054/?ref_=ttls_li_tt
My Sister's Keeper,https://www.imdb.com/title/tt1078588/?ref_=ttls_li_tt
Twilight,https://www.imdb.com/title/tt1099212/?ref_=ttls_li_tt
The Twilight Saga: New Moon,https://www.imdb.com/title/tt1259571/?ref_=ttls_li_tt
The Twilight Saga: Eclipse,https://www.imdb.com/title/tt1325004/?ref_=ttls_li_tt
Percy Jackson & the Olympians: The Lightning Thief,https://www.imdb.com/title/tt0814255/?ref_=ttls_li_tt
Percy Jackson: Sea of Monsters,https://www.imdb.com/title/tt1854564/?ref_=ttls_li_tt
Pride & Prejudice,https://www.imdb.com/title/tt0414387/?ref_=ttls_li_tt
Sense and Sensibility,https://www.imdb.com/title/tt0114388/?ref_=ttls_li_tt
Mansfield Park,https://www.imdb.com/title/tt0847182/?ref_=ttls_li_tt
Mansfield Park,https://www.imdb.com/title/tt0178737/?ref_=ttls_li_tt
Northanger Abbey,https://www.imdb.com/title/tt0844794/?ref_=ttls_li_tt
Screen Two,https://www.imdb.com/title/tt0297626/?ref_=ttls_li_tt
Emma,https://www.imdb.com/title/tt0497612/?ref_=ttls_li_tt
Persuasion,https://www.imdb.com/title/tt0844330/?ref_=ttls_li_tt
Stardust,https://www.imdb.com/title/tt0486655/?ref_=ttls_li_tt
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/?ref_=ttls_li_tt
The Chronicles of Narnia: Prince Caspian,https://www.imdb.com/title/tt0499448/?ref_=ttls_li_tt
The Chronicles of Narnia: The Voyage of the Dawn Treader,https://www.imdb.com/title/tt0980970/?ref_=ttls_li_tt
The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/?ref_=ttls_li_tt
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=ttls_li_tt
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=ttls_li_tt
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=ttls_li_tt
The Lovely Bones,https://www.imdb.com/title/tt0380510/?ref_=ttls_li_tt
The Pelican Brief,https://www.imdb.com/title/tt0107798/?ref_=ttls_li_tt
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=ttls_li_tt
Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=ttls_li_tt
The Mist,https://www.imdb.com/title/tt0884328/?ref_=ttls_li_tt
Misery,https://www.imdb.com/title/tt0100157/?ref_=ttls_li_tt
The Time Traveler's Wife,https://www.imdb.com/title/tt0452694/?ref_=ttls_li_tt
Wuthering Heights,https://www.imdb.com/title/tt0104181/?ref_=ttls_li_tt
We Need to Talk About Kevin,https://www.imdb.com/title/tt1242460/?ref_=ttls_li_tt
Appaloosa,https://www.imdb.com/title/tt0800308/?ref_=ttls_li_tt
Atonement,https://www.imdb.com/title/tt0783233/?ref_=ttls_li_tt
Awakenings,https://www.imdb.com/title/tt0099077/?ref_=ttls_li_tt
Ballet Shoes,https://www.imdb.com/title/tt1083845/?ref_=ttls_li_tt
Water for Elephants,https://www.imdb.com/title/tt1067583/?ref_=ttls_li_tt
The Lincoln Lawyer,https://www.imdb.com/title/tt1189340/?ref_=ttls_li_tt
Jane Eyre,https://www.imdb.com/title/tt1229822/?ref_=ttls_li_tt
Secretariat,https://www.imdb.com/title/tt1028576/?ref_=ttls_li_tt
The Social Network,https://www.imdb.com/title/tt1285016/?ref_=ttls_li_tt
The Town,https://www.imdb.com/title/tt0840361/?ref_=ttls_li_tt
Tamara Drewe,https://www.imdb.com/title/tt1486190/?ref_=ttls_li_tt
Green Zone,https://www.imdb.com/title/tt0947810/?ref_=ttls_li_tt
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=ttls_li_tt
The Ghost Writer,https://www.imdb.com/title/tt1139328/?ref_=ttls_li_tt
The Runaways,https://www.imdb.com/title/tt1017451/?ref_=ttls_li_tt
Winter's Bone,https://www.imdb.com/title/tt1399683/?ref_=ttls_li_tt
The Blind Side,https://www.imdb.com/title/tt0878804/?ref_=ttls_li_tt
A Single Man,https://www.imdb.com/title/tt1315981/?ref_=ttls_li_tt
Crazy Heart,https://www.imdb.com/title/tt1263670/?ref_=ttls_li_tt
Up in the Air,https://www.imdb.com/title/tt1193138/?ref_=ttls_li_tt
The Last Station,https://www.imdb.com/title/tt0824758/?ref_=ttls_li_tt
The Soloist,https://www.imdb.com/title/tt0821642/?ref_=ttls_li_tt
Like Dandelion Dust,https://www.imdb.com/title/tt0981042/?ref_=ttls_li_tt
Public Enemies,https://www.imdb.com/title/tt1152836/?ref_=ttls_li_tt
Confessions of a Shopaholic,https://www.imdb.com/title/tt1093908/?ref_=ttls_li_tt
Inkheart,https://www.imdb.com/title/tt0494238/?ref_=ttls_li_tt
Revolutionary Road,https://www.imdb.com/title/tt0959337/?ref_=ttls_li_tt
