Actor,Wiki Page,First winning film role or First nomination,Wining role URL,First Year,Last Year
Lew Ayres,https://en.wikipedia.org/wiki/Lew_Ayres,Johnny Belinda,https://en.wikipedia.org/wiki/Johnny_Belinda_(1948_film),1948,1948
Lauren Bacall,https://en.wikipedia.org/wiki/Lauren_Bacall,"Mirror Has Two Faces, The",https://en.wikipedia.org/wiki/The_Mirror_Has_Two_Faces,1996,1996
Hermione Baddeley,https://en.wikipedia.org/wiki/Hermione_Baddeley,Room at the Top,https://en.wikipedia.org/wiki/Room_at_the_Top_(1959_film),1959,1959
Mary Badham,https://en.wikipedia.org/wiki/Mary_Badham,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(film),1962,1962
Fay Bainter,https://en.wikipedia.org/wiki/Fay_Bainter,Jezebel,https://en.wikipedia.org/wiki/Jezebel_(1938_film),1938,1961
Carroll Baker,https://en.wikipedia.org/wiki/Carroll_Baker,Baby Doll,https://en.wikipedia.org/wiki/Baby_Doll,1956,1956
Alec Baldwin,https://en.wikipedia.org/wiki/Alec_Baldwin,"Cooler, The",https://en.wikipedia.org/wiki/The_Cooler,2003,2003
Christian Bale,https://en.wikipedia.org/wiki/Christian_Bale,"Fighter, The",https://en.wikipedia.org/wiki/The_Fighter,2010,2018
Martin Balsam,https://en.wikipedia.org/wiki/Martin_Balsam,"Thousand Clowns, A",https://en.wikipedia.org/wiki/A_Thousand_Clowns,1965,1965
Anne Bancroft,https://en.wikipedia.org/wiki/Anne_Bancroft,"Miracle Worker, The",https://en.wikipedia.org/wiki/The_Miracle_Worker_(1962_film),1962,1985
George Bancroft,https://en.wikipedia.org/wiki/George_Bancroft_(actor),Thunderbolt,https://en.wikipedia.org/wiki/Thunderbolt_(1929_film),1929,1929
Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas,Pain and Glory,https://en.wikipedia.org/wiki/Pain_and_Glory,2019,2019
Ian Bannen,https://en.wikipedia.org/wiki/Ian_Bannen,"Flight of the Phoenix, The",https://en.wikipedia.org/wiki/The_Flight_of_the_Phoenix_(1965_film),1965,1965
Javier Bardem,https://en.wikipedia.org/wiki/Javier_Bardem,No Country for Old Men,https://en.wikipedia.org/wiki/No_Country_for_Old_Men_(film),2000,2010
Marie-Christine Barrault,https://en.wikipedia.org/wiki/Marie-Christine_Barrault,Cousin Cousine,https://en.wikipedia.org/wiki/Cousin_Cousine,1976,1976
Adriana Barraza,https://en.wikipedia.org/wiki/Adriana_Barraza,Babel,https://en.wikipedia.org/wiki/Babel_(film),2006,2006
Barbara Barrie,https://en.wikipedia.org/wiki/Barbara_Barrie,Breaking Away,https://en.wikipedia.org/wiki/Breaking_Away,1979,1979
Ethel Barrymore,https://en.wikipedia.org/wiki/Ethel_Barrymore,None but the Lonely Heart,https://en.wikipedia.org/wiki/None_but_the_Lonely_Heart_(film),1944,1949
Lionel Barrymore,https://en.wikipedia.org/wiki/Lionel_Barrymore,"Free Soul, A",https://en.wikipedia.org/wiki/A_Free_Soul,1931,1931
Richard Barthelmess,https://en.wikipedia.org/wiki/Richard_Barthelmess,"Patent Leather Kid, The",https://en.wikipedia.org/wiki/The_Patent_Leather_Kid,1927,1927
Mikhail Baryshnikov,https://en.wikipedia.org/wiki/Mikhail_Baryshnikov,"Turning Point, The",https://en.wikipedia.org/wiki/The_Turning_Point_(1977_film),1977,1977
Kim Basinger,https://en.wikipedia.org/wiki/Kim_Basinger,L.A. Confidential,https://en.wikipedia.org/wiki/L.A._Confidential_(film),1997,1997
Albert Bassermann,https://en.wikipedia.org/wiki/Albert_Bassermann,Foreign Correspondent,https://en.wikipedia.org/wiki/Foreign_Correspondent_(film),1940,1940
Angela Bassett,https://en.wikipedia.org/wiki/Angela_Bassett,What's Love Got to Do with It,https://en.wikipedia.org/wiki/What%27s_Love_Got_to_Do_with_It_(film),1993,1993
Alan Bates,https://en.wikipedia.org/wiki/Alan_Bates,"Fixer, The",https://en.wikipedia.org/wiki/The_Fixer_(1968_film),1968,1968
Kathy Bates,https://en.wikipedia.org/wiki/Kathy_Bates,Misery,https://en.wikipedia.org/wiki/Misery_(film),1990,2019
Anne Baxter,https://en.wikipedia.org/wiki/Anne_Baxter,"Razor's Edge, The",https://en.wikipedia.org/wiki/The_Razor%27s_Edge_(1946_film),1946,1950
Warner Baxter,https://en.wikipedia.org/wiki/Warner_Baxter,In Old Arizona,https://en.wikipedia.org/wiki/In_Old_Arizona,1928,1928
Ned Beatty,https://en.wikipedia.org/wiki/Ned_Beatty,Network,https://en.wikipedia.org/wiki/Network_(1976_film),1976,1976
Warren Beatty,https://en.wikipedia.org/wiki/Warren_Beatty,Bonnie and Clyde,https://en.wikipedia.org/wiki/Bonnie_and_Clyde_(film),1967,1991
Wallace Beery,https://en.wikipedia.org/wiki/Wallace_Beery,"Champ, The",https://en.wikipedia.org/wiki/The_Champ_(1931_film),1930,1931
Ed Begley,https://en.wikipedia.org/wiki/Ed_Begley,Sweet Bird of Youth,https://en.wikipedia.org/wiki/Sweet_Bird_of_Youth,1962,1962
Bérénice Bejo,https://en.wikipedia.org/wiki/B%C3%A9r%C3%A9nice_Bejo,"Artist, The",https://en.wikipedia.org/wiki/The_Artist_(film),2011,2011
Barbara Bel Geddes,https://en.wikipedia.org/wiki/Barbara_Bel_Geddes,I Remember Mama,https://en.wikipedia.org/wiki/I_Remember_Mama_(film),1948,1948
Ralph Bellamy,https://en.wikipedia.org/wiki/Ralph_Bellamy,"Awful Truth, The",https://en.wikipedia.org/wiki/The_Awful_Truth,1937,1937
William Bendix,https://en.wikipedia.org/wiki/William_Bendix,Wake Island,https://en.wikipedia.org/wiki/Wake_Island_(film),1942,1942
Roberto Benigni,https://en.wikipedia.org/wiki/Roberto_Benigni,Life Is Beautiful,https://en.wikipedia.org/wiki/Life_Is_Beautiful,1998,1998
Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,American Beauty,https://en.wikipedia.org/wiki/American_Beauty_(1999_film),1990,2010
Tom Berenger,https://en.wikipedia.org/wiki/Tom_Berenger,Platoon,https://en.wikipedia.org/wiki/Platoon_(film),1986,1986
Candice Bergen,https://en.wikipedia.org/wiki/Candice_Bergen,Starting Over,https://en.wikipedia.org/wiki/Starting_Over_(1979_film),1979,1979
Ingrid Bergman,https://en.wikipedia.org/wiki/Ingrid_Bergman,Gaslight,https://en.wikipedia.org/wiki/Gaslight_(1944_film),1943,1978
Elisabeth Bergner,https://en.wikipedia.org/wiki/Elisabeth_Bergner,Escape Me Never,https://en.wikipedia.org/wiki/Escape_Me_Never_(1935_film),1935,1935
Jeannie Berlin,https://en.wikipedia.org/wiki/Jeannie_Berlin,"Heartbreak Kid, The",https://en.wikipedia.org/wiki/The_Heartbreak_Kid_(1972_film),1972,1972
Halle Berry,https://en.wikipedia.org/wiki/Halle_Berry,Monster's Ball,https://en.wikipedia.org/wiki/Monster%27s_Ball,2001,2001
Demián Bichir,https://en.wikipedia.org/wiki/Demi%C3%A1n_Bichir,"Better Life, A",https://en.wikipedia.org/wiki/A_Better_Life,2011,2011
Charles Bickford,https://en.wikipedia.org/wiki/Charles_Bickford,"Song of Bernadette, The",https://en.wikipedia.org/wiki/The_Song_of_Bernadette_(film),1943,1948
Theodore Bikel,https://en.wikipedia.org/wiki/Theodore_Bikel,"Defiant Ones, The",https://en.wikipedia.org/wiki/The_Defiant_Ones_(film),1958,1958
Juliette Binoche,https://en.wikipedia.org/wiki/Juliette_Binoche,"English Patient, The",https://en.wikipedia.org/wiki/The_English_Patient_(film),1996,2000
Karen Black,https://en.wikipedia.org/wiki/Karen_Black,Five Easy Pieces,https://en.wikipedia.org/wiki/Five_Easy_Pieces,1970,1970
Betsy Blair,https://en.wikipedia.org/wiki/Betsy_Blair,Marty,https://en.wikipedia.org/wiki/Marty_(film),1955,1955
Linda Blair,https://en.wikipedia.org/wiki/Linda_Blair,"Exorcist, The",https://en.wikipedia.org/wiki/The_Exorcist_(film),1973,1973
Ronee Blakley,https://en.wikipedia.org/wiki/Ronee_Blakley,Nashville,https://en.wikipedia.org/wiki/Nashville_(film),1975,1975
Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,Blue Jasmine,https://en.wikipedia.org/wiki/Blue_Jasmine,1998,2015
Brenda Blethyn,https://en.wikipedia.org/wiki/Brenda_Blethyn,Secrets & Lies,https://en.wikipedia.org/wiki/Secrets_%26_Lies_(film),1996,1998
Mary J. Blige,https://en.wikipedia.org/wiki/Mary_J._Blige,Mudbound,https://en.wikipedia.org/wiki/Mudbound_(film),2017,2017
Joan Blondell,https://en.wikipedia.org/wiki/Joan_Blondell,"Blue Veil, The",https://en.wikipedia.org/wiki/The_Blue_Veil_(1951_film),1951,1951
Ann Blyth,https://en.wikipedia.org/wiki/Ann_Blyth,Mildred Pierce,https://en.wikipedia.org/wiki/Mildred_Pierce_(film),1945,1945
Humphrey Bogart,https://en.wikipedia.org/wiki/Humphrey_Bogart,"African Queen, The",https://en.wikipedia.org/wiki/The_African_Queen_(film),1943,1954
Beulah Bondi,https://en.wikipedia.org/wiki/Beulah_Bondi,"Gorgeous Hussy, The",https://en.wikipedia.org/wiki/The_Gorgeous_Hussy,1936,1938
Helena Bonham Carter,https://en.wikipedia.org/wiki/Helena_Bonham_Carter,"Wings of the Dove, The",https://en.wikipedia.org/wiki/The_Wings_of_the_Dove_(1997_film),1997,2010
Shirley Booth,https://en.wikipedia.org/wiki/Shirley_Booth,"Come Back, Little Sheba","https://en.wikipedia.org/wiki/Come_Back,_Little_Sheba_(1952_film)",1952,1952
Ernest Borgnine,https://en.wikipedia.org/wiki/Ernest_Borgnine,Marty,https://en.wikipedia.org/wiki/Marty_(film),1955,1955
Charles Boyer,https://en.wikipedia.org/wiki/Charles_Boyer,Conquest,https://en.wikipedia.org/wiki/Conquest_(1937_film),1937,1961
Lorraine Bracco,https://en.wikipedia.org/wiki/Lorraine_Bracco,Goodfellas,https://en.wikipedia.org/wiki/Goodfellas,1990,1990
Alice Brady,https://en.wikipedia.org/wiki/Alice_Brady,In Old Chicago,https://en.wikipedia.org/wiki/In_Old_Chicago,1936,1937
Kenneth Branagh,https://en.wikipedia.org/wiki/Kenneth_Branagh,Henry V,https://en.wikipedia.org/wiki/Henry_V_(1989_film),1989,2011
Klaus Maria Brandauer,https://en.wikipedia.org/wiki/Klaus_Maria_Brandauer,Out of Africa,https://en.wikipedia.org/wiki/Out_of_Africa_(film),1985,1985
Marlon Brando,https://en.wikipedia.org/wiki/Marlon_Brando,On the Waterfront,https://en.wikipedia.org/wiki/On_the_Waterfront,1951,1989
Eileen Brennan,https://en.wikipedia.org/wiki/Eileen_Brennan,Private Benjamin,https://en.wikipedia.org/wiki/Private_Benjamin_(1980_film),1980,1980
Walter Brennan,https://en.wikipedia.org/wiki/Walter_Brennan,Come and Get It,https://en.wikipedia.org/wiki/Come_and_Get_It_(1936_film),1936,1941
Abigail Breslin,https://en.wikipedia.org/wiki/Abigail_Breslin,Little Miss Sunshine,https://en.wikipedia.org/wiki/Little_Miss_Sunshine,2006,2006
Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,Crazy Heart,https://en.wikipedia.org/wiki/Crazy_Heart,1971,2016
Jim Broadbent,https://en.wikipedia.org/wiki/Jim_Broadbent,Iris,https://en.wikipedia.org/wiki/Iris_(2001_film),2001,2001
Adrien Brody,https://en.wikipedia.org/wiki/Adrien_Brody,"Pianist, The",https://en.wikipedia.org/wiki/The_Pianist_(2002_film),2002,2002
Josh Brolin,https://en.wikipedia.org/wiki/Josh_Brolin,Milk,https://en.wikipedia.org/wiki/Milk_(film),2008,2008
Albert Brooks,https://en.wikipedia.org/wiki/Albert_Brooks,Broadcast News,https://en.wikipedia.org/wiki/Broadcast_News_(film),1987,1987
Leslie Browne,https://en.wikipedia.org/wiki/Leslie_Browne,"Turning Point, The",https://en.wikipedia.org/wiki/The_Turning_Point_(1977_film),1977,1977
Yul Brynner,https://en.wikipedia.org/wiki/Yul_Brynner,"King and I, The",https://en.wikipedia.org/wiki/The_King_and_I_(1956_film),1956,1956
Geneviève Bujold,https://en.wikipedia.org/wiki/Genevi%C3%A8ve_Bujold,Anne of the Thousand Days,https://en.wikipedia.org/wiki/Anne_of_the_Thousand_Days,1969,1969
Sandra Bullock,https://en.wikipedia.org/wiki/Sandra_Bullock,"Blind Side, The",https://en.wikipedia.org/wiki/The_Blind_Side_(film),2009,2013
Victor Buono,https://en.wikipedia.org/wiki/Victor_Buono,What Ever Happened to Baby Jane?,https://en.wikipedia.org/wiki/What_Ever_Happened_to_Baby_Jane%3F_(1962_film),1962,1962
Billie Burke,https://en.wikipedia.org/wiki/Billie_Burke,Merrily We Live,https://en.wikipedia.org/wiki/Merrily_We_Live,1938,1938
Catherine Burns,https://en.wikipedia.org/wiki/Catherine_Burns,Last Summer,https://en.wikipedia.org/wiki/Last_Summer,1969,1969
George Burns,https://en.wikipedia.org/wiki/George_Burns,"Sunshine Boys, The",https://en.wikipedia.org/wiki/The_Sunshine_Boys_(1975_film),1975,1975
Ellen Burstyn,https://en.wikipedia.org/wiki/Ellen_Burstyn,Alice Doesn't Live Here Anymore,https://en.wikipedia.org/wiki/Alice_Doesn%27t_Live_Here_Anymore,1971,2000
Richard Burton,https://en.wikipedia.org/wiki/Richard_Burton,"Robe, The",https://en.wikipedia.org/wiki/The_Robe_(film),1952,1977
Gary Busey,https://en.wikipedia.org/wiki/Gary_Busey,"Buddy Holly Story, The",https://en.wikipedia.org/wiki/The_Buddy_Holly_Story,1978,1978
Red Buttons,https://en.wikipedia.org/wiki/Red_Buttons,Sayonara,https://en.wikipedia.org/wiki/Sayonara,1957,1957
Spring Byington,https://en.wikipedia.org/wiki/Spring_Byington,You Can't Take It with You,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(film),1938,1938
James Caan,https://en.wikipedia.org/wiki/James_Caan,"Godfather, The",https://en.wikipedia.org/wiki/The_Godfather,1972,1972
Adolph Caesar,https://en.wikipedia.org/wiki/Adolph_Caesar,"Soldier's Story, A",https://en.wikipedia.org/wiki/A_Soldier%27s_Story,1984,1984
Nicolas Cage,https://en.wikipedia.org/wiki/Nicolas_Cage,Leaving Las Vegas,https://en.wikipedia.org/wiki/Leaving_Las_Vegas,1995,2002
James Cagney,https://en.wikipedia.org/wiki/James_Cagney,Yankee Doodle Dandy,https://en.wikipedia.org/wiki/Yankee_Doodle_Dandy,1938,1955
Michael Caine,https://en.wikipedia.org/wiki/Michael_Caine,Hannah and Her Sisters,https://en.wikipedia.org/wiki/Hannah_and_Her_Sisters,1966,2002
Louis Calhern,https://en.wikipedia.org/wiki/Louis_Calhern,"Magnificent Yankee, The",https://en.wikipedia.org/wiki/The_Magnificent_Yankee_(1950_film),1950,1950
Dyan Cannon,https://en.wikipedia.org/wiki/Dyan_Cannon,Bob & Carol & Ted & Alice,https://en.wikipedia.org/wiki/Bob_%26_Carol_%26_Ted_%26_Alice,1969,1978
Steve Carell,https://en.wikipedia.org/wiki/Steve_Carell,Foxcatcher,https://en.wikipedia.org/wiki/Foxcatcher,2014,2014
Harry Carey,https://en.wikipedia.org/wiki/Harry_Carey_(actor),Mr. Smith Goes to Washington,https://en.wikipedia.org/wiki/Mr._Smith_Goes_to_Washington,1939,1939
Lynn Carlin,https://en.wikipedia.org/wiki/Lynn_Carlin,Faces,https://en.wikipedia.org/wiki/Faces_(1968_film),1968,1968
Art Carney,https://en.wikipedia.org/wiki/Art_Carney,Harry and Tonto,https://en.wikipedia.org/wiki/Harry_and_Tonto,1974,1974
Leslie Caron,https://en.wikipedia.org/wiki/Leslie_Caron,Lili,https://en.wikipedia.org/wiki/Lili,1953,1963
Diahann Carroll,https://en.wikipedia.org/wiki/Diahann_Carroll,Claudine,https://en.wikipedia.org/wiki/Claudine_(film),1974,1974
Nancy Carroll,https://en.wikipedia.org/wiki/Nancy_Carroll,"Devil's Holiday, The",https://en.wikipedia.org/wiki/The_Devil%27s_Holiday,1930,1930
Peggy Cass,https://en.wikipedia.org/wiki/Peggy_Cass,Auntie Mame,https://en.wikipedia.org/wiki/Auntie_Mame_(film),1958,1958
John Cassavetes,https://en.wikipedia.org/wiki/John_Cassavetes,"Dirty Dozen, The",https://en.wikipedia.org/wiki/The_Dirty_Dozen,1967,1967
Seymour Cassel,https://en.wikipedia.org/wiki/Seymour_Cassel,Faces,https://en.wikipedia.org/wiki/Faces_(1968_film),1968,1968
Richard S. Castellano,https://en.wikipedia.org/wiki/Richard_S._Castellano,Lovers and Other Strangers,https://en.wikipedia.org/wiki/Lovers_and_Other_Strangers,1970,1970
Keisha Castle-Hughes,https://en.wikipedia.org/wiki/Keisha_Castle-Hughes,Whale Rider,https://en.wikipedia.org/wiki/Whale_Rider,2003,2003
George Chakiris,https://en.wikipedia.org/wiki/George_Chakiris,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(1961_film),1961,1961
Timothée Chalamet,https://en.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet,Call Me by Your Name,https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film),2017,2017
Jeff Chandler,https://en.wikipedia.org/wiki/Jeff_Chandler,Broken Arrow,https://en.wikipedia.org/wiki/Broken_Arrow_(1950_film),1950,1950
Carol Channing,https://en.wikipedia.org/wiki/Carol_Channing,Thoroughly Modern Millie,https://en.wikipedia.org/wiki/Thoroughly_Modern_Millie,1967,1967
Stockard Channing,https://en.wikipedia.org/wiki/Stockard_Channing,Six Degrees of Separation,https://en.wikipedia.org/wiki/Six_Degrees_of_Separation_(film),1993,1993
Charlie Chaplin,https://en.wikipedia.org/wiki/Charlie_Chaplin,"Great Dictator, The",https://en.wikipedia.org/wiki/The_Great_Dictator,1940,1940
Jessica Chastain,https://en.wikipedia.org/wiki/Jessica_Chastain,Zero Dark Thirty,https://en.wikipedia.org/wiki/Zero_Dark_Thirty,2011,2012
Ruth Chatterton,https://en.wikipedia.org/wiki/Ruth_Chatterton,Madame X,https://en.wikipedia.org/wiki/Madame_X_(1929_film),1929,1930
Don Cheadle,https://en.wikipedia.org/wiki/Don_Cheadle,Hotel Rwanda,https://en.wikipedia.org/wiki/Hotel_Rwanda,2004,2004
Michael Chekhov,https://en.wikipedia.org/wiki/Michael_Chekhov,Spellbound,https://en.wikipedia.org/wiki/Spellbound_(1945_film),1945,1945
Cher,https://en.wikipedia.org/wiki/Cher,Moonstruck,https://en.wikipedia.org/wiki/Moonstruck,1983,1987
Maurice Chevalier,https://en.wikipedia.org/wiki/Maurice_Chevalier,"Love Parade, The",https://en.wikipedia.org/wiki/The_Love_Parade,1929,1929
Julie Christie,https://en.wikipedia.org/wiki/Julie_Christie,Darling,https://en.wikipedia.org/wiki/Darling_(1965_film),1965,2007
Thomas Haden Church,https://en.wikipedia.org/wiki/Thomas_Haden_Church,Sideways,https://en.wikipedia.org/wiki/Sideways,2004,2004
Diane Cilento,https://en.wikipedia.org/wiki/Diane_Cilento,Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(1963_film),1963,1963
Candy Clark,https://en.wikipedia.org/wiki/Candy_Clark,American Graffiti,https://en.wikipedia.org/wiki/American_Graffiti,1973,1973
Patricia Clarkson,https://en.wikipedia.org/wiki/Patricia_Clarkson,Pieces of April,https://en.wikipedia.org/wiki/Pieces_of_April,2003,2003
Jill Clayburgh,https://en.wikipedia.org/wiki/Jill_Clayburgh,"Unmarried Woman, An",https://en.wikipedia.org/wiki/An_Unmarried_Woman,1978,1979
Montgomery Clift,https://en.wikipedia.org/wiki/Montgomery_Clift,"Search, The",https://en.wikipedia.org/wiki/The_Search,1948,1961
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,Syriana,https://en.wikipedia.org/wiki/Syriana,2005,2011
Glenn Close,https://en.wikipedia.org/wiki/Glenn_Close,Fatal Attraction,https://en.wikipedia.org/wiki/Fatal_Attraction,1982,2018
Lee J. Cobb,https://en.wikipedia.org/wiki/Lee_J._Cobb,On the Waterfront,https://en.wikipedia.org/wiki/On_the_Waterfront,1954,1958
Charles Coburn,https://en.wikipedia.org/wiki/Charles_Coburn,"More the Merrier, The",https://en.wikipedia.org/wiki/The_More_the_Merrier,1941,1946
James Coburn,https://en.wikipedia.org/wiki/James_Coburn,Affliction,https://en.wikipedia.org/wiki/Affliction_(1997_film),1998,1998
James Coco,https://en.wikipedia.org/wiki/James_Coco,Only When I Laugh,https://en.wikipedia.org/wiki/Only_When_I_Laugh_(film),1981,1981
Claudette Colbert,https://en.wikipedia.org/wiki/Claudette_Colbert,It Happened One Night,https://en.wikipedia.org/wiki/It_Happened_One_Night,1934,1944
Toni Collette,https://en.wikipedia.org/wiki/Toni_Collette,"Sixth Sense, The",https://en.wikipedia.org/wiki/The_Sixth_Sense,1999,1999
Patricia Collinge,https://en.wikipedia.org/wiki/Patricia_Collinge,"Little Foxes, The",https://en.wikipedia.org/wiki/The_Little_Foxes_(film),1941,1941
Pauline Collins,https://en.wikipedia.org/wiki/Pauline_Collins,Shirley Valentine,https://en.wikipedia.org/wiki/Shirley_Valentine_(film),1989,1989
Olivia Colman,https://en.wikipedia.org/wiki/Olivia_Colman,"Favourite, The",https://en.wikipedia.org/wiki/The_Favourite,2018,2018
Ronald Colman,https://en.wikipedia.org/wiki/Ronald_Colman,"Double Life, A",https://en.wikipedia.org/wiki/A_Double_Life_(1947_film),1929,1947
Betty Compson,https://en.wikipedia.org/wiki/Betty_Compson,"Barker, The",https://en.wikipedia.org/wiki/The_Barker,1928,1928
Jennifer Connelly,https://en.wikipedia.org/wiki/Jennifer_Connelly,"Beautiful Mind, A",https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),2001,2001
Sean Connery,https://en.wikipedia.org/wiki/Sean_Connery,"Untouchables, The",https://en.wikipedia.org/wiki/The_Untouchables_(film),1987,1987
Tom Conti,https://en.wikipedia.org/wiki/Tom_Conti,"Reuben, Reuben","https://en.wikipedia.org/wiki/Reuben,_Reuben",1983,1983
Bradley Cooper,https://en.wikipedia.org/wiki/Bradley_Cooper,Silver Linings Playbook,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,2012,2018
